ZdAId,ZdCId
56610,67571
56721,62557
43855,480713
53428,62560
482486,478505
48054,63101
48047,62997
48041,62965
48038,62864
48028,62917
48017,62731
48013,61004
48002,62758
423907,62805
47207,424483
478717,478725
478477,74226
45074,62360
47671,62543
56243,67540
56244,67547
44157,62273
56146,67530
56156,67621
56183,67690
56190,67655
56254,62484
56262,67639
56264,67693
56278,67411
55136,62509
44639,67598
42241,62292
43569,62369
42326,62128
43702,478352
42575,62070
42812,62481
49248,62065
49209,62338
49208,62349
49319,62355
49311,62438
49306,67947
51670,68073
49375,62389
49357,67756
49349,67895
49440,62377
49538,486069
49518,62427
49505,62415
49500,67606
473164,72652
52079,72007
44065,70339
45917,474220
53204,425800
55764,64849
51145,70755
50972,65487
47392,70805
47426,415527
58218,73051
463715,463756
473444,71033
463801,463802
463538,463539
463542,463543
470536,71359
463592,463593
45211,71638
463657,463658
50606,70905
58779,69826
42803,482696
46448,73876
42852,70164
57219,70213
50719,70115
50750,72083
50752,72165
53684,72495
52381,70267
50632,70308
492006,66042
46637,64741
488677,491435
42533,64646
54633,64803
54634,64893
54607,65212
54606,65247
54622,65123
53754,64556
46785,65325
54514,65366
54519,65126
54521,65314
54531,65145
47372,70771
462398,73596
58594,73619
45604,71938
45672,415744
488468,70508
48500,60270
48488,60229
473140,59447
485710,485787
485695,485788
52333,60002
52334,60011
52335,59939
50042,59482
50043,59480
50006,59413
50009,59580
482481,485469
51604,59465
51607,59499
51708,59958
51713,59914
51719,59711
46116,73694
50545,72721
50556,72489
47376,70780
47405,71360
46593,70891
50500,70868
46151,72665
46134,72636
45425,71210
51545,71120
42974,67871
47323,68638
49233,485315
491966,69942
49192,64074
50577,70929
51252,72419
44686,72638
45007,70124
58367,71875
423141,423142
45577,71988
45206,73648
45494,71514
50515,70816
44502,71079
51243,71985
470545,71434
50799,70017
50771,70171
46365,424422
51267,72213
58485,70203
45403,71310
43604,72618
45569,71493
58752,70668
464021,464022
45312,473197
473421,65659
52249,421434
45894,70448
51295,478860
479035,71607
462827,69888
423164,423192
473256,69852
44044,71412
47492,72388
53190,491452
50583,481099
50596,71441
463775,463776
482878,71889
463811,73669
426219,71935
473258,63369
488056,480711
49741,73512
42958,73571
57429,73563
57337,73539
473554,73439
46198,73429
46122,72573
45228,71601
46502,71959
45541,71330
491784,63304
42561,71728
491555,491693
57384,72549
47005,64024
48742,60465
48772,60620
57776,63403
57908,63751
42352,63604
45185,71340
474193,415847
50386,71837
416480,416481
58606,73866
57044,71951
45290,491754
45660,71670
57071,70974
46158,72624
490769,490782
490763,490779
490838,69974
46512,72456
45707,71882
45540,479938
42524,412659
427332,69761
42317,73691
44895,479983
47373,70771
47758,479913
58746,71030
427222,70372
46499,72039
47380,70792
483411,483412
51695,72049
47378,70786
412375,412665
43485,72967
51185,69730
42394,71194
50385,71836
45201,71723
49947,61729
48389,60822
52791,62673
46477,65663
58267,73098
47684,63072
43080,478855
43164,69065
52877,62877
473221,73793
463859,473829
45382,71078
45380,71071
45553,71509
44971,71415
46868,64434
46166,72660
57857,63838
48234,60907
48751,62631
47063,62730
52300,60955
48235,60658
52891,63375
472335,491164
473617,64145
43363,73488
54155,66548
491210,491325
491324,491326
491348,491426
45153,71341
47052,62951
47889,62978
58937,73163
43177,69906
43207,68129
44500,71106
470195,73626
473890,71056
53783,64483
42205,72661
44288,63660
45819,412712
55817,68327
55970,68034
55979,68302
55909,68230
55926,68335
55947,68267
42883,68171
47812,62687
52795,62703
480923,480962
54757,64569
478406,478407
45449,71262
45404,482825
45510,71405
44315,73662
491016,71470
413242,413243
51000,66486
51011,66518
463737,463738
472704,67196
57957,71483
483469,482909
479474,479475
58389,72420
45976,483634
45738,483390
50654,72280
45360,480561
50514,70843
57260,71746
422535,426138
57548,68896
473093,72132
477259,477260
55663,67882
52633,68877
